# 困难样本列表（按难度降序排列）
# 总计: 634 张，困难: 200 张 (score>2)
# 格式: 排名 | 文件名 | 难度分 | 漏检数 | 误检数 | GT数 | 预测数 | GT类别
====================================================================================================
   1 | 2024大籽蒿_大籽蒿染后40_TS-20240701111513925_jpg.rf.eddc4933af18eea3d84b61b6ac56775e.jpg | score=376.0 | miss=119 | fp=12 | gt=348 | pred=241 | []
   2 | 2024柳树_染色后_4012_jpg.rf.c70599be2e743c8e31db005f84c66893.jpg | score=140.0 | miss=25 | fp=20 | gt=252 | pred=247 | []
   3 | 2024柳树_染色后_4011_jpg.rf.ae7559b0877e4a11d2401fb0019e6592.jpg | score=129.5 | miss=21 | fp=17 | gt=239 | pred=235 | []
   4 | 2024柳树_染色后_4010_jpg.rf.6f280611004bbfd65a3c1c92e7a775c7.jpg | score=128.0 | miss=19 | fp=20 | gt=242 | pred=243 | []
   5 | 藜科2024_藜科染后40_TS-20240912101831227_jpg.rf.fa51fc30a8daa9f2b617f587201c8719.jpg | score=114.5 | miss=15 | fp=29 | gt=267 | pred=281 | []
   6 | 2024球悬铃木_球悬铃木染后40_TS-20240612184406983_jpg.rf.8f604f6426b43f049374f9c80ca57476.jpg | score=97.5 | miss=4 | fp=45 | gt=111 | pred=152 | []
   7 | 2024球悬铃木_球悬铃木染后40_TS-20240612184402804_jpg.rf.b754bdd5d23d2dd3e5ae5c682b69ccb3.jpg | score=90.5 | miss=10 | fp=35 | gt=105 | pred=130 | []
   8 | 2024矮紫杉_矮紫杉染后40_TS-20250211183508609_jpg.rf.0a4a39af38a94d420725351af50b1925.jpg | score=84.5 | miss=16 | fp=23 | gt=86 | pred=93 | []
   9 | 2024球悬铃木_球悬铃木染后40_TS-20240612184623830_jpg.rf.6e31b1118d57e30165a0209d9f69e986.jpg | score=82.5 | miss=11 | fp=31 | gt=109 | pred=129 | []
  10 | 2024球悬铃木_球悬铃木染后40_TS-20240612184534553_jpg.rf.3bb76eda84bb41b0abe57c51df5c80ac.jpg | score=81.5 | miss=7 | fp=27 | gt=130 | pred=150 | []
  11 | 2024大籽蒿_大籽蒿染后40_TS-20240701111235145_jpg.rf.c0283ab010b23b82e776e30c8281db3b.jpg | score=78.0 | miss=6 | fp=14 | gt=105 | pred=113 | []
  12 | 2024矮紫杉_矮紫杉染后40_TS-20250211183532028_jpg.rf.f2e4f73edbd8c27aa59f50fef31e170e.jpg | score=77.0 | miss=25 | fp=10 | gt=85 | pred=70 | []
  13 | 2024大籽蒿_大籽蒿染后40_TS-20240701111244126_jpg.rf.08a8dc0cf9f8cdc82a79e77a050a9f6c.jpg | score=75.0 | miss=7 | fp=10 | gt=103 | pred=106 | []
  14 | 2024球悬铃木_球悬铃木染后40_TS-20240612184444295_jpg.rf.52060df28a5d2461bb35bd9fe78bfb5a.jpg | score=75.0 | miss=8 | fp=22 | gt=117 | pred=131 | []
  15 | 2024柳树_染色后_403_jpg.rf.8cf4f0f9507d18a9c7c79fe539b65b8e.jpg | score=71.0 | miss=10 | fp=16 | gt=133 | pred=139 | []
